rel_path,folder,file_name,duration_sec,sr,channels,peak_dbfs,rms_dbfs,crest_db,spec_centroid_mean,spec_spread_mean,spec_flatness_mean,mfcc01_mean,mfcc02_mean,mfcc03_mean,mfcc04_mean,mfcc05_mean
bdd/bdd1.wav,bdd,bdd1.wav,0.44326530612244897,44100.0,2.0,-4.858706906160126,-10.00913044723134,5.1504235410712145,266.76141357421875,786.0905151367188,-47.55663299560547,-111.32136535644531,79.09368896484375,21.582435607910156,38.12684631347656,29.76212501525879
bdd/bdd2.wav,bdd,bdd2.wav,0.44294784580498864,44100.0,2.0,-1.4114031935988345,-10.009791654712693,8.598388461113858,403.5663757324219,1527.1136474609375,-35.72422409057617,-88.21366119384766,39.86674880981445,45.765384674072266,30.741601943969727,25.007522583007812
bdd/bdd3.wav,bdd,bdd3.wav,0.44360544217687076,44100.0,2.0,-3.502496424215521,-10.010887295067661,6.50839087085214,194.40321350097656,679.140380859375,-51.32656478881836,-157.84678649902344,72.35316467285156,49.1606559753418,36.06865692138672,24.41377830505371
bdd/bdd4.wav,bdd,bdd4.wav,0.44285714285714284,44100.0,2.0,-1.298166308249928,-10.010472099826039,8.71230579157611,225.87672424316406,703.5413818359375,-51.853187561035156,-165.58897399902344,70.89696502685547,54.50196075439453,38.21236038208008,32.292518615722656
bdd/bdd5.wav,bdd,bdd5.wav,0.44365079365079363,44100.0,2.0,-2.5448425506799617,-10.009996295965138,7.465153745285177,243.42239379882812,941.983642578125,-42.16537094116211,-92.99879455566406,66.13143920898438,43.51816940307617,32.89222717285156,23.528600692749023
bdr/bdr1.wav,bdr,bdr1.wav,0.793968253968254,44100.0,2.0,-1.0658322786549306,-10.032244799976333,8.966412521321402,174.23703002929688,683.2183227539062,-52.299339294433594,-204.34312438964844,56.90325927734375,58.791236877441406,48.41640090942383,35.281734466552734
bdr/bdr2.wav,bdr,bdr2.wav,0.8924716553287982,44100.0,2.0,-1.0001519038096112,-11.432637130584393,10.432485226774782,119.88407897949219,657.0977172851562,-52.15351867675781,-226.50546264648438,52.29881286621094,65.68285369873047,48.98011779785156,36.60392761230469
bdr/bdr3.wav,bdr,bdr3.wav,0.809047619047619,44100.0,2.0,-0.999854487670355,-10.370627392292018,9.370772904621663,167.78103637695312,645.1805419921875,-53.665321350097656,-211.75924682617188,64.54195404052734,72.66441345214844,49.92551803588867,36.605228424072266
bdr/bdr4.wav,bdr,bdr4.wav,0.8847619047619047,44100.0,2.0,-1.0883373168216661,-10.03699929903139,8.948661982209723,170.0067901611328,696.2483520507812,-51.043582916259766,-194.84886169433594,64.57791900634766,62.77169418334961,48.97740173339844,35.64327621459961
bdr/bdr5.wav,bdr,bdr5.wav,0.8212925170068027,44100.0,2.0,-1.0000031944669938,-10.62727034259096,9.627267148123966,189.16763305664062,819.2738037109375,-47.499473571777344,-185.84674072265625,61.67649459838867,59.985877990722656,40.48091125488281,30.46187400817871
bdr/bdr6.wav,bdr,bdr6.wav,0.8966893424036281,44100.0,2.0,-0.999854487670355,-12.306877462581191,11.307022974910836,154.14828491210938,695.909912109375,-52.77192687988281,-236.19912719726562,61.2475471496582,77.03410339355469,44.0924186706543,32.62880325317383
bdsyn/bdsyn1.wav,bdsyn,bdsyn1.wav,0.18070294784580498,44100.0,2.0,-7.319997520332605,-18.50501054451376,11.185013024181153,574.6550903320312,1527.265625,-35.19892501831055,-150.161376953125,54.41811752319336,49.0684928894043,46.3475227355957,26.3681583404541
